DoF,Content,Codec,Rate,DMOS,CILow,CIHigh,HRScore,HRCILow,HRCIHigh
1,2,2,4,3.64,3.37676863731229,3.90323136268771,4.72,4.49643745096081,4.94356254903919
1,2,3,4,4.28,4.05643745096081,4.50356254903919,4.72,4.49643745096081,4.94356254903919
1,2,4,4,4.28,4.00003917806682,4.55996082193318,4.72,4.49643745096081,4.94356254903919
1,2,5,4,4.16,3.90221915227471,4.41778084772529,4.72,4.49643745096081,4.94356254903919
1,3,1,1,3.2,2.82318540046462,3.57681459953538,4.88,4.74309645731451,5.01690354268549
1,3,2,1,1.12,0.983096457314513,1.25690354268549,4.88,4.74309645731451,5.01690354268549
1,3,3,1,1.44,1.23087638424538,1.64912361575462,4.88,4.74309645731451,5.01690354268549
1,3,4,1,1.84,1.55601075778074,2.12398924221926,4.88,4.74309645731451,5.01690354268549
1,3,5,1,1.96,1.7377113220085,2.1822886779915,4.88,4.74309645731451,5.01690354268549
1,3,1,2,3.44,3.17142871495469,3.70857128504531,4.88,4.74309645731451,5.01690354268549
1,3,2,2,1.96,1.65667009858883,2.26332990141117,4.88,4.74309645731451,5.01690354268549
1,3,3,2,1.8,1.53355184141844,2.06644815858156,4.88,4.74309645731451,5.01690354268549
1,3,4,2,2.24,2.02419343959289,2.45580656040711,4.88,4.74309645731451,5.01690354268549
1,3,5,2,2.64,2.40528351983696,2.87471648016304,4.88,4.74309645731451,5.01690354268549
1,3,1,3,4.68,4.42111986861936,4.93888013138064,4.88,4.74309645731451,5.01690354268549
1,3,2,3,2.56,2.24293788678637,2.87706211321363,4.88,4.74309645731451,5.01690354268549
1,3,3,3,3.24,2.89711941914677,3.58288058085323,4.88,4.74309645731451,5.01690354268549
1,3,4,3,3.48,3.08264368939907,3.87735631060093,4.88,4.74309645731451,5.01690354268549
1,3,5,3,3.92,3.5641146192363,4.2758853807637,4.88,4.74309645731451,5.01690354268549
1,3,1,4,4.64,4.43778006572589,4.84221993427411,4.88,4.74309645731451,5.01690354268549
1,3,2,4,3.2,2.93355184141844,3.46644815858156,4.88,4.74309645731451,5.01690354268549
1,3,3,4,4.12,3.79760873855881,4.44239126144119,4.88,4.74309645731451,5.01690354268549
1,3,4,4,4.12,3.79760873855881,4.44239126144119,4.88,4.74309645731451,5.01690354268549
1,3,5,4,3.92,3.60654098233306,4.23345901766694,4.88,4.74309645731451,5.01690354268549
1,4,1,1,2.56,2.26618124737657,2.85381875262343,4.92,4.80570647304892,5.03429352695108
1,4,2,1,1,1,1,4.92,4.80570647304892,5.03429352695108
1,4,3,1,1.92,1.68407674334687,2.15592325665313,4.92,4.80570647304892,5.03429352695108
1,4,4,1,1.56,1.31931013542613,1.80068986457387,4.92,4.80570647304892,5.03429352695108
1,4,5,1,2.2,1.8847342871543,2.5152657128457,4.92,4.80570647304892,5.03429352695108
1,4,1,2,3.28,3.00003917806682,3.55996082193318,4.92,4.80570647304892,5.03429352695108
1,4,2,2,1.68,1.42111986861936,1.93888013138064,4.92,4.80570647304892,5.03429352695108
1,4,3,2,1.64,1.37676863731229,1.90323136268771,4.92,4.80570647304892,5.03429352695108
1,4,4,2,2.52,2.20204349258872,2.83795650741128,4.92,4.80570647304892,5.03429352695108
1,4,5,2,3,2.70812066627833,3.29187933372167,4.92,4.80570647304892,5.03429352695108
1,4,1,3,4,3.6847342871543,4.3152657128457,4.92,4.80570647304892,5.03429352695108
1,4,2,3,2.84,2.55601075778074,3.12398924221926,4.92,4.80570647304892,5.03429352695108
1,4,3,3,3.16,2.75276120623144,3.56723879376856,4.92,4.80570647304892,5.03429352695108
1,4,4,3,3.6,3.33355184141844,3.86644815858156,4.92,4.80570647304892,5.03429352695108
1,4,5,3,4.4,4.10812066627833,4.69187933372167,4.92,4.80570647304892,5.03429352695108
1,4,1,4,4.4,4.04252228295919,4.75747771704081,4.92,4.80570647304892,5.03429352695108
1,4,2,4,3.52,3.22521632276722,3.81478367723278,4.92,4.80570647304892,5.03429352695108
1,4,3,4,4.16,3.87601075778074,4.44398924221926,4.92,4.80570647304892,5.03429352695108
1,4,4,4,4.4,4.1616815219728,4.6383184780272,4.92,4.80570647304892,5.03429352695108
1,4,5,4,4.36,4.07105420137208,4.64894579862792,4.92,4.80570647304892,5.03429352695108
