Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
6,1,4,8,3,4,0.75147929
6,1,2,6,4,4,0.550576184
6,1,1,2,1,3,0.51384083
6,1,3,4,3,3,0.652519894
6,1,2,8,4,4,0.629392971
6,1,4,2,1,2,0.756410256
6,1,1,1,0,5,0.693298969
6,1,3,8,1,2,0.73993808
6,1,2,4,3,3,0.635258359
7,1,3,8,1,2,0.337620579
7,1,4,2,3,4,0.494382022
7,1,2,6,3,2,0.354223433
7,1,1,2,1,2,0.561403509
7,1,3,2,4,5,0.377300613
7,1,2,3,4,3,0.398809524
7,1,3,2,2,3,0.590909091
7,1,4,8,3,4,0.336483932
7,1,2,4,3,2,0.308641975
7,1,4,3,2,2,0.283185841
7,1,3,8,3,3,0.304843305
7,1,4,8,2,3,0.339393939
7,1,3,4,3,2,0.285714286
7,1,1,3,1,1,0.280757098
7,1,4,3,3,3,0.600478469
7,1,1,3,2,2,0.262114537
7,1,3,2,3,5,0.244755245
7,1,1,8,1,2,0.646226415
7,1,2,2,1,4,0.432065217
7,1,4,6,4,5,0.502702703
7,1,2,3,2,2,0.524916944
7,1,1,3,4,3,0.245210728
7,1,2,8,1,2,0.504504505
7,1,1,1,0,5,0.227848101
7,1,3,4,2,2,0.254826255
7,1,4,6,2,3,0.40625
7,1,1,8,2,3,0.380952381
7,1,2,1,0,5,0.425531915
7,1,3,3,1,1,0.49078341
7,1,4,8,1,2,0.431893688
7,1,1,4,1,2,0.481283422
7,1,4,2,2,4,0.318681319
7,1,1,4,3,4,0.326923077
7,1,4,6,1,2,0.154798762
7,1,1,8,4,4,0.3
7,1,3,6,3,3,0.175159236
7,1,1,4,4,3,0.330409357
7,1,2,8,4,4,0.533156499
7,1,4,3,1,1,0.392026578
7,1,2,6,4,4,0.449626866
7,1,1,4,2,2,0.437699681
7,1,4,2,1,3,0.421052632
7,1,3,3,2,2,0.464615385
7,1,2,4,1,1,0.523584906
7,1,3,8,2,3,0.626304802
7,1,1,8,3,5,0.393188854
7,1,2,6,2,2,0.311392405
7,1,4,4,1,2,0.386768448
7,1,3,2,1,5,0.427244582
7,1,4,2,4,5,0.507936508
7,1,2,2,4,5,0.635897436
7,1,3,4,4,5,0.382178218
7,1,2,3,1,1,0.486046512
7,1,3,6,4,4,0.292857143
7,1,4,1,0,5,0.407792208
7,1,3,4,1,2,0.2875
7,1,2,8,2,2,0.308558559
7,1,3,8,4,4,0.693548387
7,1,1,6,1,2,0.547169811
7,1,4,4,2,2,0.449367089
7,1,3,3,4,3,0.382059801
7,1,1,6,3,4,0.38538206
7,1,2,4,2,2,0.388174807
7,1,1,3,3,3,0.357303371
7,1,2,2,2,4,0.689265537
7,1,1,6,4,4,0.468302658
7,1,2,2,3,5,0.527472527
7,1,1,2,4,5,0.263157895
7,1,3,3,3,3,0.364217252
7,1,4,4,3,2,0.551083591
7,1,1,2,3,4,0.477011494
7,1,4,6,3,3,0.492537313
7,1,3,6,2,2,0.328502415
7,1,2,8,3,3,0.377319588
7,1,4,4,4,5,0.311111111
7,1,3,6,1,2,0.425465839
7,1,2,3,3,3,0.448
7,1,1,6,2,3,0.361173815
7,1,2,4,4,5,0.493775934
7,1,4,8,4,5,0.280665281
7,1,3,1,0,5,0.335555556
7,1,2,6,1,1,0.598130841
7,1,1,2,2,3,0.292613636
7,1,4,3,4,4,0.306722689
10,1,4,2,4,4,0.263551402
10,1,1,6,2,2,0.480851064
10,1,3,2,1,4,0.56
10,1,2,6,2,3,0.491957105
10,1,3,6,4,4,0.474474474
10,1,4,4,2,1,0.482857143
10,1,2,2,3,5,0.548387097
10,1,1,6,1,2,0.454314721
10,1,3,8,4,3,0.635
10,1,1,3,3,3,0.547619048
10,1,2,2,2,4,0.584327087
10,1,3,1,0,5,0.458498024
10,1,1,6,3,4,0.610859729
10,1,4,4,4,4,0.473760933
10,1,2,2,4,5,0.325153374
10,1,3,6,2,2,0.393650794
10,1,1,6,4,4,0.561461794
10,1,3,3,2,2,0.366852886
10,1,4,1,0,5,0.68685567
10,1,2,8,2,2,0.746438746
10,1,3,6,1,3,0.447530864
10,1,4,4,1,1,0.739273927
10,1,2,3,1,1,0.609411765
10,1,3,8,2,2,0.540145985
10,1,4,3,4,4,0.420131291
10,1,2,4,4,4,0.450980392
10,1,3,4,1,2,0.604651163
10,1,1,2,3,5,0.650057937
10,1,3,4,4,5,0.381052632
10,1,1,2,4,5,0.523684211
10,1,2,4,1,1,0.292011019
10,1,4,4,3,3,0.62797619
10,1,1,2,2,4,0.381987578
10,1,2,6,1,1,0.487329435
10,1,3,3,4,3,0.478827362
10,1,2,3,3,3,0.524691358
10,1,1,8,3,4,0.519662921
10,1,3,3,3,2,0.745928339
10,1,4,6,3,3,0.548543689
10,1,2,4,2,2,0.4400978
10,1,4,8,4,4,0.511904762
10,1,2,8,3,4,0.587209302
10,1,3,6,3,4,0.545189504
10,1,1,8,1,2,0.571428571
10,1,4,6,1,1,0.677902622
10,1,2,8,4,5,0.530120482
10,1,4,3,2,1,0.328313253
10,1,2,8,1,1,0.795454545
