Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion,Playback
6,1,2,6,3,3,0.769444444,Adaptive
6,1,1,4,4,4,0.73125,Adaptive
6,1,3,6,3,3,0.598574822,Adaptive
6,1,1,3,1,1,0.471193416,Naïve
6,1,4,3,2,2,0.52238806,Naïve
6,1,2,2,1,3,0.635542169,Naïve
6,1,3,2,2,4,0.602758621,Naïve
6,1,4,6,4,4,0.641791045,Adaptive
6,1,3,3,1,1,0.537790698,Naïve
6,1,1,8,4,4,0.336273429,Adaptive
6,1,4,6,1,2,0.589861751,Adaptive
6,1,2,1,0,5,0.56684492,Naïve
6,1,3,2,3,5,0.288636364,Naïve
6,1,4,3,1,1,0.561561562,Naïve
6,1,3,2,4,5,0.694117647,Naïve
6,1,2,3,4,4,0.689440994,Naïve
6,1,3,8,3,4,0.50843061,Adaptive
6,1,4,2,2,3,0.591054313,Naïve
6,1,1,8,2,3,0.740384615,Adaptive
6,1,3,4,2,2,0.421383648,Adaptive
6,1,1,4,2,2,0.520920502,Adaptive
6,1,4,2,3,4,0.441358025,Naïve
6,1,2,3,2,2,0.316348195,Naïve
6,1,4,8,3,4,0.75147929,Adaptive
6,1,2,6,4,4,0.550576184,Adaptive
6,1,1,2,1,3,0.51384083,Naïve
6,1,3,4,3,3,0.652519894,Adaptive
6,1,2,8,4,4,0.629392971,Adaptive
6,1,4,2,1,2,0.756410256,Naïve
6,1,1,1,0,5,0.693298969,Naïve
6,1,3,8,1,2,0.73993808,Adaptive
6,1,2,4,3,3,0.635258359,Adaptive
7,1,3,8,1,2,0.337620579,Adaptive
7,1,4,2,3,4,0.494382022,Naïve
7,1,2,6,3,2,0.354223433,Adaptive
7,1,1,2,1,2,0.561403509,Naïve
7,1,3,2,4,5,0.377300613,Naïve
7,1,2,3,4,3,0.398809524,Naïve
7,1,3,2,2,3,0.590909091,Naïve
7,1,4,8,3,4,0.336483932,Adaptive
7,1,2,4,3,2,0.308641975,Adaptive
7,1,4,3,2,2,0.283185841,Naïve
7,1,3,8,3,3,0.304843305,Adaptive
7,1,4,8,2,3,0.339393939,Adaptive
7,1,3,4,3,2,0.285714286,Adaptive
7,1,1,3,1,1,0.280757098,Naïve
7,1,4,3,3,3,0.600478469,Naïve
7,1,1,3,2,2,0.262114537,Naïve
7,1,3,2,3,5,0.244755245,Naïve
7,1,1,8,1,2,0.646226415,Adaptive
7,1,2,2,1,4,0.432065217,Naïve
7,1,4,6,4,5,0.502702703,Adaptive
7,1,2,3,2,2,0.524916944,Naïve
7,1,1,3,4,3,0.245210728,Naïve
7,1,2,8,1,2,0.504504505,Adaptive
7,1,1,1,0,5,0.227848101,Naïve
7,1,3,4,2,2,0.254826255,Adaptive
7,1,4,6,2,3,0.40625,Adaptive
7,1,1,8,2,3,0.380952381,Adaptive
7,1,2,1,0,5,0.425531915,Naïve
7,1,3,3,1,1,0.49078341,Naïve
7,1,4,8,1,2,0.431893688,Adaptive
7,1,1,4,1,2,0.481283422,Adaptive
7,1,4,2,2,4,0.318681319,Naïve
7,1,1,4,3,4,0.326923077,Adaptive
7,1,4,6,1,2,0.154798762,Adaptive
7,1,1,8,4,4,0.3,Adaptive
7,1,3,6,3,3,0.175159236,Adaptive
7,1,1,4,4,3,0.330409357,Adaptive
7,1,2,8,4,4,0.533156499,Adaptive
7,1,4,3,1,1,0.392026578,Naïve
7,1,2,6,4,4,0.449626866,Adaptive
7,1,1,4,2,2,0.437699681,Adaptive
7,1,4,2,1,3,0.421052632,Naïve
7,1,3,3,2,2,0.464615385,Naïve
7,1,2,4,1,1,0.523584906,Adaptive
7,1,3,8,2,3,0.626304802,Adaptive
7,1,1,8,3,5,0.393188854,Adaptive
7,1,2,6,2,2,0.311392405,Adaptive
7,1,4,4,1,2,0.386768448,Adaptive
7,1,3,2,1,5,0.427244582,Naïve
7,1,4,2,4,5,0.507936508,Naïve
7,1,2,2,4,5,0.635897436,Naïve
7,1,3,4,4,5,0.382178218,Adaptive
7,1,2,3,1,1,0.486046512,Naïve
7,1,3,6,4,4,0.292857143,Adaptive
7,1,4,1,0,5,0.407792208,Naïve
7,1,3,4,1,2,0.2875,Adaptive
7,1,2,8,2,2,0.308558559,Adaptive
7,1,3,8,4,4,0.693548387,Adaptive
7,1,1,6,1,2,0.547169811,Adaptive
7,1,4,4,2,2,0.449367089,Adaptive
7,1,3,3,4,3,0.382059801,Naïve
7,1,1,6,3,4,0.38538206,Adaptive
7,1,2,4,2,2,0.388174807,Adaptive
7,1,1,3,3,3,0.357303371,Naïve
7,1,2,2,2,4,0.689265537,Naïve
7,1,1,6,4,4,0.468302658,Adaptive
7,1,2,2,3,5,0.527472527,Naïve
7,1,1,2,4,5,0.263157895,Naïve
7,1,3,3,3,3,0.364217252,Naïve
7,1,4,4,3,2,0.551083591,Adaptive
7,1,1,2,3,4,0.477011494,Naïve
7,1,4,6,3,3,0.492537313,Adaptive
7,1,3,6,2,2,0.328502415,Adaptive
7,1,2,8,3,3,0.377319588,Adaptive
7,1,4,4,4,5,0.311111111,Adaptive
7,1,3,6,1,2,0.425465839,Adaptive
7,1,2,3,3,3,0.448,Naïve
7,1,1,6,2,3,0.361173815,Adaptive
7,1,2,4,4,5,0.493775934,Adaptive
7,1,4,8,4,5,0.280665281,Adaptive
7,1,3,1,0,5,0.335555556,Naïve
7,1,2,6,1,1,0.598130841,Adaptive
7,1,1,2,2,3,0.292613636,Naïve
7,1,4,3,4,4,0.306722689,Naïve
10,1,4,2,4,4,0.263551402,Naïve
10,1,1,6,2,2,0.480851064,Adaptive
10,1,3,2,1,4,0.56,Naïve
10,1,2,6,2,3,0.491957105,Adaptive
10,1,3,6,4,4,0.474474474,Adaptive
10,1,4,4,2,1,0.482857143,Adaptive
10,1,2,2,3,5,0.548387097,Naïve
10,1,1,6,1,2,0.454314721,Adaptive
10,1,3,8,4,3,0.635,Adaptive
10,1,1,3,3,3,0.547619048,Naïve
10,1,2,2,2,4,0.584327087,Naïve
10,1,3,1,0,5,0.458498024,Naïve
10,1,1,6,3,4,0.610859729,Adaptive
10,1,4,4,4,4,0.473760933,Adaptive
10,1,2,2,4,5,0.325153374,Naïve
10,1,3,6,2,2,0.393650794,Adaptive
10,1,1,6,4,4,0.561461794,Adaptive
10,1,3,3,2,2,0.366852886,Naïve
10,1,4,1,0,5,0.68685567,Naïve
10,1,2,8,2,2,0.746438746,Adaptive
10,1,3,6,1,3,0.447530864,Adaptive
10,1,4,4,1,1,0.739273927,Adaptive
10,1,2,3,1,1,0.609411765,Naïve
10,1,3,8,2,2,0.540145985,Adaptive
10,1,4,3,4,4,0.420131291,Naïve
10,1,2,4,4,4,0.450980392,Adaptive
10,1,3,4,1,2,0.604651163,Adaptive
10,1,1,2,3,5,0.650057937,Naïve
10,1,3,4,4,5,0.381052632,Adaptive
10,1,1,2,4,5,0.523684211,Naïve
10,1,2,4,1,1,0.292011019,Adaptive
10,1,4,4,3,3,0.62797619,Adaptive
10,1,1,2,2,4,0.381987578,Naïve
10,1,2,6,1,1,0.487329435,Adaptive
10,1,3,3,4,3,0.478827362,Naïve
10,1,2,3,3,3,0.524691358,Naïve
10,1,1,8,3,4,0.519662921,Adaptive
10,1,3,3,3,2,0.745928339,Naïve
10,1,4,6,3,3,0.548543689,Adaptive
10,1,2,4,2,2,0.4400978,Adaptive
10,1,4,8,4,4,0.511904762,Adaptive
10,1,2,8,3,4,0.587209302,Adaptive
10,1,3,6,3,4,0.545189504,Adaptive
10,1,1,8,1,2,0.571428571,Adaptive
10,1,4,6,1,1,0.677902622,Adaptive
10,1,2,8,4,5,0.530120482,Adaptive
10,1,4,3,2,1,0.328313253,Naïve
10,1,2,8,1,1,0.795454545,Adaptive
10,1,4,3,3,2,0.509485095,Naïve
10,1,1,1,0,5,0.636363636,Naïve
10,1,4,6,2,2,0.567307692,Adaptive
10,1,2,4,3,2,0.609195402,Adaptive
10,1,1,4,2,2,0.628571429,Adaptive
10,1,4,6,4,5,0.753846154,Adaptive
10,1,2,3,2,2,0.48758465,Naïve
10,1,1,8,2,3,0.637462236,Adaptive
10,1,3,8,3,4,0.510971787,Adaptive
10,1,1,2,1,4,0.336065574,Naïve
10,1,3,8,1,2,0.380165289,Adaptive
10,1,4,3,1,1,0.565495208,Naïve
10,1,3,4,3,4,0.793187348,Adaptive
10,1,1,4,4,4,0.329411765,Adaptive
10,1,4,8,1,3,0.645768025,Adaptive
10,1,1,3,2,2,0.530259366,Naïve
10,1,3,2,4,5,0.384408602,Naïve
10,1,1,3,4,3,0.561056106,Naïve
10,1,3,2,2,3,0.467091295,Naïve
10,1,1,8,4,4,0.321321321,Adaptive
10,1,3,3,1,1,0.591362126,Naïve
10,1,2,3,4,4,0.7,Naïve
10,1,1,3,1,1,0.385338346,Naïve
10,1,2,6,3,3,0.373134328,Adaptive
10,1,4,8,3,4,0.563245823,Adaptive
10,1,1,4,3,4,0.775967413,Adaptive
10,1,2,6,4,5,0.583596215,Adaptive
10,1,4,2,3,3,0.279538905,Naïve
10,1,3,2,3,3,0.615384615,Naïve
10,1,4,2,1,2,0.42516269,Naïve
10,1,1,4,1,2,0.415213946,Adaptive
10,1,2,1,0,5,0.657807309,Naïve
10,1,4,2,2,3,0.591966173,Naïve
10,1,3,4,2,2,0.29245283,Adaptive
10,1,2,2,1,2,0.336448598,Naïve
10,1,4,8,2,3,0.523809524,Adaptive
11,1,4,8,3,4,0.604651163,Adaptive
11,1,1,3,2,2,0.598272138,Naïve
11,1,3,4,3,3,0.317880795,Adaptive
11,1,2,8,1,1,0.166112957,Adaptive
11,1,3,8,1,2,0.558139535,Adaptive
11,1,2,1,0,4,0.338870432,Naïve
11,1,4,3,1,1,0.282392027,Naïve
11,1,3,2,3,5,0.508982036,Naïve
11,1,4,3,2,2,0.720930233,Naïve
11,1,3,3,1,2,0.355481728,Naïve
11,1,1,8,1,3,0.445182724,Adaptive
11,1,2,4,3,2,0.365448505,Adaptive
11,1,4,2,1,3,0.23255814,Naïve
11,1,3,4,2,2,0.119601329,Adaptive
11,1,4,2,2,4,0.196013289,Naïve
11,1,1,1,0,5,0.289036545,Naïve
11,1,3,2,4,5,0.242524917,Naïve
11,1,4,2,3,5,0.508305648,Naïve
11,1,3,6,3,4,0.358803987,Adaptive
11,1,2,3,2,2,0.612188366,Naïve
11,1,1,8,2,4,0.322259136,Adaptive
11,1,2,2,1,3,0.408637874,Naïve
11,1,1,3,1,2,0.5,Naïve
11,1,3,2,2,4,0.222591362,Naïve
11,1,2,6,3,3,0.486956522,Adaptive
11,1,1,8,4,4,0.448504983,Adaptive
11,1,3,8,3,3,0.481727575,Adaptive
11,1,2,3,4,4,0.478405316,Naïve
11,1,4,6,2,2,0.162790698,Adaptive
11,1,1,4,1,2,0.405315615,Adaptive
11,1,4,6,1,2,0.43902439,Adaptive
11,1,1,2,1,2,0.378737542,Naïve
11,1,4,8,2,3,0.367924528,Adaptive
11,1,1,4,3,3,0.551495017,Adaptive
11,1,4,6,4,4,0.561764706,Adaptive
11,1,1,4,4,4,0.513245033,Adaptive
11,1,2,6,4,3,0.259047619,Adaptive
11,1,4,3,3,2,0.794019934,Naïve
11,1,1,4,2,2,0.458471761,Adaptive
11,1,4,8,1,2,0.746710526,Adaptive
11,1,2,8,4,3,0.318936877,Adaptive
11,1,1,3,4,3,0.611295681,Naïve
11,1,4,2,4,5,0.34551495,Naïve
11,1,3,4,4,4,0.658031088,Adaptive
11,1,4,3,4,4,0.464788732,Naïve
11,1,1,6,1,2,0.390322581,Adaptive
11,1,4,1,0,4,0.612612613,Naïve
11,1,2,2,4,5,0.647181628,Naïve
11,1,4,8,4,3,0.425249169,Adaptive
11,1,1,2,3,3,0.411111111,Naïve
11,1,4,4,3,2,0.431893688,Adaptive
11,1,2,8,3,3,0.5,Adaptive
11,1,1,2,4,2,0.292358804,Naïve
11,1,2,3,1,1,0.631097561,Naïve
11,1,3,3,4,2,0.350931677,Naïve
11,1,1,8,3,2,0.649006623,Adaptive
11,1,2,4,4,4,0.335548173,Adaptive
11,1,1,6,2,3,0.42192691,Adaptive
11,1,4,4,4,3,0.282392027,Adaptive
11,1,3,3,3,2,0.566510172,Naïve
11,1,2,8,2,2,0.299003322,Adaptive
11,1,4,4,1,2,0.464,Adaptive
11,1,3,1,0,4,0.528239203,Naïve
11,1,2,4,1,1,0.438538206,Adaptive
11,1,3,8,4,3,0.265151515,Adaptive
11,1,1,6,3,3,0.232758621,Adaptive
11,1,3,3,2,2,0.376996805,Naïve
11,1,2,2,2,3,0.481727575,Naïve
11,1,3,6,1,1,0.275747508,Adaptive
11,1,1,6,4,3,0.666666667,Adaptive
11,1,2,6,2,2,0.254385965,Adaptive
11,1,4,6,3,3,0.351807229,Adaptive
11,1,2,3,3,2,0.337142857,Naïve
11,1,3,2,1,2,0.636150235,Naïve
11,1,4,4,2,2,0.289036545,Adaptive
11,1,1,3,3,2,0.378737542,Naïve
11,1,3,8,2,3,0.471760797,Adaptive
11,1,1,2,2,3,0.231707317,Naïve
11,1,3,6,2,2,0.447887324,Adaptive
11,1,2,2,3,4,0.634955752,Naïve
11,1,3,6,4,3,0.591362126,Adaptive
11,1,2,4,2,2,0.785100287,Adaptive
11,1,3,4,1,1,0.343575419,Adaptive
11,1,2,6,1,1,0.454068241,Adaptive
12,1,3,6,4,4,0.451428571,Adaptive
12,1,1,2,4,5,0.420886076,Naïve
12,1,3,3,2,2,0.634146341,Naïve
12,1,2,6,2,1,0.645259939,Adaptive
12,1,4,3,4,3,0.465116279,Naïve
12,1,1,6,1,2,0.271719039,Adaptive
12,1,2,2,3,4,0.476117103,Naïve
12,1,4,6,3,4,0.252840909,Adaptive
12,1,2,4,4,4,0.227848101,Adaptive
12,1,4,2,4,5,0.208,Naïve
12,1,3,4,4,4,0.664596273,Adaptive
12,1,2,4,2,2,0.322884013,Adaptive
12,1,4,1,0,5,0.342379958,Naïve
12,1,1,2,2,4,0.301675978,Naïve
12,1,4,4,2,2,0.25,Adaptive
12,1,3,8,2,2,0.296829971,Adaptive
12,1,4,4,1,2,0.106109325,Adaptive
12,1,2,2,4,5,0.312292359,Naïve
12,1,1,2,3,5,0.422916667,Naïve
12,1,2,2,2,4,0.130790191,Naïve
12,1,3,2,1,4,0.365448505,Naïve
12,1,1,8,3,3,0.259938838,Adaptive
12,1,3,8,4,3,0.477011494,Adaptive
12,1,2,8,3,3,0.505636071,Adaptive
12,1,1,6,2,2,0.36809816,Adaptive
12,1,2,8,2,2,0.478405316,Adaptive
12,1,3,6,2,2,0.707317073,Adaptive
12,1,1,3,3,3,0.501577287,Naïve
12,1,3,1,0,5,0.430588235,Naïve
12,1,1,6,3,5,0.273291925,Adaptive
12,1,3,6,1,1,0.465045593,Adaptive
12,1,2,4,1,1,0.47611465,Adaptive
12,1,4,4,4,4,0.428571429,Adaptive
12,1,2,6,1,1,0.369109948,Adaptive
12,1,3,4,1,1,0.492113565,Adaptive
12,1,4,8,4,4,0.345549738,Adaptive
12,1,3,3,3,2,0.675438596,Naïve
12,1,2,3,3,2,0.486486486,Naïve
12,1,1,6,4,4,0.456140351,Adaptive
12,1,2,3,1,1,0.186885246,Naïve
12,1,3,3,4,3,0.296385542,Naïve
12,1,4,4,3,2,0.288515406,Adaptive
12,1,1,8,4,5,0.621568627,Adaptive
12,1,4,2,2,3,0.33901919,Naïve
12,1,2,3,2,1,0.511749347,Naïve
12,1,1,8,2,4,0.253205128,Adaptive
