Participant,DoF,Contents,Codecs,Bitrates,Scores,HRScores,DMOS
2,1,4,6,2,2,5,2
2,1,2,4,3,1,3,3
2,1,3,8,3,3,5,3
2,1,1,4,4,3,4,4
2,1,4,3,3,2,5,2
2,1,3,4,3,2,5,2
2,1,3,8,1,2,5,2
2,1,1,8,2,3,4,4
2,1,2,6,4,4,3,6
2,1,1,8,4,3,4,4
2,1,3,3,1,1,5,1
2,1,4,3,1,1,5,1
2,1,2,2,1,2,3,4
2,1,1,4,3,2,4,3
2,1,3,4,2,1,5,1
2,1,4,2,1,2,5,2
2,1,2,8,4,4,3,6
2,1,4,2,3,3,5,3
2,1,3,6,3,2,5,2
2,1,1,2,1,2,4,3
2,1,3,2,2,3,5,3
2,1,4,8,1,1,5,1
2,1,1,3,1,1,4,2
2,1,2,8,1,1,3,3
2,1,4,3,2,2,5,2
2,1,1,4,1,1,4,2
2,1,4,6,4,4,5,4
2,1,2,3,2,2,3,4
2,1,4,2,2,2,5,2
6,1,1,2,4,5,5,5
6,1,4,4,4,4,5,4
6,1,2,6,1,1,5,1
6,1,1,6,4,5,5,5
6,1,2,3,3,3,5,3
6,1,4,4,2,2,5,2
6,1,3,6,1,2,5,2
6,1,1,6,2,3,5,3
6,1,4,2,4,3,5,3
6,1,2,8,2,2,5,2
6,1,4,3,4,4,5,4
6,1,1,2,2,4,5,4
6,1,2,2,2,4,5,4
6,1,1,2,3,3,5,3
6,1,3,3,4,3,5,3
6,1,1,6,1,2,5,2
6,1,2,2,4,5,5,5
6,1,1,6,3,4,5,4
6,1,2,4,4,4,5,4
6,1,4,4,1,2,5,2
6,1,3,8,2,3,5,3
6,1,2,6,2,2,5,2
6,1,3,4,4,3,5,3
6,1,4,6,3,4,5,4
6,1,3,2,1,3,5,3
6,1,2,4,1,2,5,2
6,1,3,6,4,3,5,3
6,1,4,4,3,3,5,3
6,1,3,6,2,1,5,1
6,1,1,3,3,3,5,3
6,1,3,3,2,1,5,1
6,1,1,8,3,3,5,3
6,1,2,3,1,1,5,1
6,1,3,4,1,1,5,1
6,1,2,8,3,4,5,4
6,1,4,8,4,5,5,5
6,1,2,4,2,2,5,2
6,1,3,3,3,3,5,3
6,1,2,2,3,5,5,5
6,1,3,8,4,5,5,5
6,1,1,3,2,2,5,2
6,1,4,6,2,2,5,2
6,1,1,4,3,5,5,5
6,1,4,8,2,3,5,3
6,1,1,3,4,5,5,5
6,1,4,8,1,2,5,2
6,1,1,8,1,2,5,2
6,1,2,8,1,1,5,1
6,1,4,3,3,3,5,3
6,1,1,4,1,1,5,1
6,1,2,6,3,3,5,3
6,1,1,4,4,4,5,4
6,1,3,6,3,3,5,3
6,1,1,3,1,1,5,1
6,1,4,3,2,2,5,2
6,1,2,2,1,3,5,3
6,1,3,2,2,4,5,4
6,1,4,6,4,4,5,4
6,1,3,3,1,1,5,1
6,1,1,8,4,4,5,4
6,1,4,6,1,2,5,2
6,1,3,2,3,5,5,5
6,1,4,3,1,1,5,1
6,1,3,2,4,5,5,5
6,1,2,3,4,4,5,4
6,1,3,8,3,4,5,4
6,1,4,2,2,3,5,3
6,1,1,8,2,3,5,3
6,1,3,4,2,2,5,2
6,1,1,4,2,2,5,2
6,1,4,2,3,4,5,4
6,1,2,3,2,2,5,2
6,1,4,8,3,4,5,4
6,1,2,6,4,4,5,4
6,1,1,2,1,3,5,3
6,1,3,4,3,3,5,3
6,1,2,8,4,4,5,4
6,1,4,2,1,2,5,2
6,1,3,8,1,2,5,2
6,1,2,4,3,3,5,3
7,1,3,8,1,2,5,2
7,1,4,2,3,4,5,4
7,1,2,6,3,2,5,2
7,1,1,2,1,2,5,2
7,1,3,2,4,5,5,5
7,1,2,3,4,3,5,3
7,1,3,2,2,3,5,3
7,1,4,8,3,4,5,4
7,1,2,4,3,2,5,2
7,1,4,3,2,2,5,2
7,1,3,8,3,3,5,3
7,1,4,8,2,3,5,3
7,1,3,4,3,2,5,2
7,1,1,3,1,1,5,1
7,1,4,3,3,3,5,3
7,1,1,3,2,2,5,2
7,1,3,2,3,5,5,5
7,1,1,8,1,2,5,2
7,1,2,2,1,4,5,4
7,1,4,6,4,5,5,5
7,1,2,3,2,2,5,2
7,1,1,3,4,3,5,3
7,1,2,8,1,2,5,2
7,1,3,4,2,2,5,2
7,1,4,6,2,3,5,3
7,1,1,8,2,3,5,3
7,1,3,3,1,1,5,1
7,1,4,8,1,2,5,2
7,1,1,4,1,2,5,2
7,1,4,2,2,4,5,4
7,1,1,4,3,4,5,4
7,1,4,6,1,2,5,2
7,1,1,8,4,4,5,4
7,1,3,6,3,3,5,3
7,1,1,4,4,3,5,3
7,1,2,8,4,4,5,4
7,1,4,3,1,1,5,1
7,1,2,6,4,4,5,4
7,1,1,4,2,2,5,2
7,1,4,2,1,3,5,3
7,1,3,3,2,2,5,2
7,1,2,4,1,1,5,1
7,1,3,8,2,3,5,3
7,1,1,8,3,5,5,5
7,1,2,6,2,2,5,2
7,1,4,4,1,2,5,2
7,1,3,2,1,5,5,5
7,1,4,2,4,5,5,5
7,1,2,2,4,5,5,5
7,1,3,4,4,5,5,5
7,1,2,3,1,1,5,1
7,1,3,6,4,4,5,4
7,1,3,4,1,2,5,2
7,1,2,8,2,2,5,2
7,1,3,8,4,4,5,4
7,1,1,6,1,2,5,2
7,1,4,4,2,2,5,2
7,1,3,3,4,3,5,3
7,1,1,6,3,4,5,4
7,1,2,4,2,2,5,2
7,1,1,3,3,3,5,3
7,1,2,2,2,4,5,4
7,1,1,6,4,4,5,4
7,1,2,2,3,5,5,5
7,1,1,2,4,5,5,5
7,1,3,3,3,3,5,3
7,1,4,4,3,2,5,2
7,1,1,2,3,4,5,4
7,1,4,6,3,3,5,3
7,1,3,6,2,2,5,2
7,1,2,8,3,3,5,3
7,1,4,4,4,5,5,5
7,1,3,6,1,2,5,2
7,1,2,3,3,3,5,3
7,1,1,6,2,3,5,3
7,1,2,4,4,5,5,5
7,1,4,8,4,5,5,5
7,1,2,6,1,1,5,1
7,1,1,2,2,3,5,3
7,1,4,3,4,4,5,4
10,1,4,2,4,4,5,4
10,1,1,6,2,2,5,2
10,1,3,2,1,4,5,4
10,1,2,6,2,3,5,3
10,1,3,6,4,4,5,4
10,1,4,4,2,1,5,1
10,1,2,2,3,5,5,5
10,1,1,6,1,2,5,2
10,1,3,8,4,3,5,3
10,1,1,3,3,3,5,3
10,1,2,2,2,4,5,4
10,1,1,6,3,4,5,4
10,1,4,4,4,4,5,4
10,1,2,2,4,5,5,5
10,1,3,6,2,2,5,2
10,1,1,6,4,4,5,4
10,1,3,3,2,2,5,2
10,1,2,8,2,2,5,2
10,1,3,6,1,3,5,3
10,1,4,4,1,1,5,1
10,1,2,3,1,1,5,1
10,1,3,8,2,2,5,2
10,1,4,3,4,4,5,4
10,1,2,4,4,4,5,4
10,1,3,4,1,2,5,2
10,1,1,2,3,5,5,5
10,1,3,4,4,5,5,5
10,1,1,2,4,5,5,5
10,1,2,4,1,1,5,1
10,1,4,4,3,3,5,3
10,1,1,2,2,4,5,4
10,1,2,6,1,1,5,1
10,1,3,3,4,3,5,3
10,1,2,3,3,3,5,3
10,1,1,8,3,4,5,4
10,1,3,3,3,2,5,2
10,1,4,6,3,3,5,3
10,1,2,4,2,2,5,2
10,1,4,8,4,4,5,4
10,1,2,8,3,4,5,4
10,1,3,6,3,4,5,4
10,1,1,8,1,2,5,2
10,1,4,6,1,1,5,1
10,1,2,8,4,5,5,5
10,1,4,3,2,1,5,1
10,1,2,8,1,1,5,1
10,1,4,3,3,2,5,2
10,1,4,6,2,2,5,2
10,1,2,4,3,2,5,2
10,1,1,4,2,2,5,2
10,1,4,6,4,5,5,5
10,1,2,3,2,2,5,2
10,1,1,8,2,3,5,3
10,1,3,8,3,4,5,4
10,1,1,2,1,4,5,4
10,1,3,8,1,2,5,2
10,1,4,3,1,1,5,1
10,1,3,4,3,4,5,4
10,1,1,4,4,4,5,4
10,1,4,8,1,3,5,3
10,1,1,3,2,2,5,2
10,1,3,2,4,5,5,5
10,1,1,3,4,3,5,3
10,1,3,2,2,3,5,3
10,1,1,8,4,4,5,4
10,1,3,3,1,1,5,1
10,1,2,3,4,4,5,4
10,1,1,3,1,1,5,1
10,1,2,6,3,3,5,3
10,1,4,8,3,4,5,4
10,1,1,4,3,4,5,4
10,1,2,6,4,5,5,5
10,1,4,2,3,3,5,3
10,1,3,2,3,3,5,3
10,1,4,2,1,2,5,2
10,1,1,4,1,2,5,2
10,1,4,2,2,3,5,3
10,1,3,4,2,2,5,2
10,1,2,2,1,2,5,2
10,1,4,8,2,3,5,3
11,1,4,8,3,4,4,5
11,1,1,3,2,2,5,2
11,1,3,4,3,3,4,4
11,1,2,8,1,1,4,2
11,1,3,8,1,2,4,3
11,1,4,3,1,1,4,2
11,1,3,2,3,5,4,6
11,1,4,3,2,2,4,3
11,1,3,3,1,2,4,3
11,1,1,8,1,3,5,3
11,1,2,4,3,2,4,3
11,1,4,2,1,3,4,4
11,1,3,4,2,2,4,3
11,1,4,2,2,4,4,5
11,1,3,2,4,5,4,6
11,1,4,2,3,5,4,6
11,1,3,6,3,4,4,5
11,1,2,3,2,2,4,3
11,1,1,8,2,4,5,4
11,1,2,2,1,3,4,4
11,1,1,3,1,2,5,2
11,1,3,2,2,4,4,5
11,1,2,6,3,3,4,4
11,1,1,8,4,4,5,4
11,1,3,8,3,3,4,4
11,1,2,3,4,4,4,5
11,1,4,6,2,2,4,3
11,1,1,4,1,2,5,2
11,1,4,6,1,2,4,3
11,1,1,2,1,2,5,2
11,1,4,8,2,3,4,4
11,1,1,4,3,3,5,3
11,1,4,6,4,4,4,5
11,1,1,4,4,4,5,4
11,1,2,6,4,3,4,4
11,1,4,3,3,2,4,3
11,1,1,4,2,2,5,2
11,1,4,8,1,2,4,3
11,1,2,8,4,3,4,4
11,1,1,3,4,3,5,3
11,1,4,2,4,5,4,6
11,1,3,4,4,4,4,5
11,1,4,3,4,4,4,5
11,1,1,6,1,2,5,2
11,1,2,2,4,5,4,6
11,1,4,8,4,3,4,4
11,1,1,2,3,3,5,3
11,1,4,4,3,2,4,3
11,1,2,8,3,3,4,4
11,1,1,2,4,2,5,2
11,1,2,3,1,1,4,2
11,1,3,3,4,2,4,3
11,1,1,8,3,2,5,2
11,1,2,4,4,4,4,5
11,1,1,6,2,3,5,3
11,1,4,4,4,3,4,4
11,1,3,3,3,2,4,3
11,1,2,8,2,2,4,3
11,1,4,4,1,2,4,3
11,1,2,4,1,1,4,2
11,1,3,8,4,3,4,4
11,1,1,6,3,3,5,3
11,1,3,3,2,2,4,3
11,1,2,2,2,3,4,4
11,1,3,6,1,1,4,2
11,1,1,6,4,3,5,3
11,1,2,6,2,2,4,3
11,1,4,6,3,3,4,4
11,1,2,3,3,2,4,3
11,1,3,2,1,2,4,3
11,1,4,4,2,2,4,3
11,1,1,3,3,2,5,2
11,1,3,8,2,3,4,4
11,1,1,2,2,3,5,3
11,1,3,6,2,2,4,3
11,1,2,2,3,4,4,5
11,1,3,6,4,3,4,4
11,1,2,4,2,2,4,3
11,1,3,4,1,1,4,2
11,1,2,6,1,1,4,2
12,1,3,6,4,4,5,4
12,1,1,2,4,5,4,6
12,1,3,3,2,2,5,2
12,1,2,6,2,1,5,1
12,1,4,3,4,3,5,3
12,1,1,6,1,2,4,3
12,1,2,2,3,4,5,4
12,1,4,6,3,4,5,4
12,1,2,4,4,4,5,4
12,1,4,2,4,5,5,5
12,1,3,4,4,4,5,4
12,1,2,4,2,2,5,2
12,1,1,2,2,4,4,5
12,1,4,4,2,2,5,2
12,1,3,8,2,2,5,2
12,1,4,4,1,2,5,2
12,1,2,2,4,5,5,5
12,1,1,2,3,5,4,6
12,1,2,2,2,4,5,4
12,1,3,2,1,4,5,4
12,1,1,8,3,3,4,4
12,1,3,8,4,3,5,3
12,1,2,8,3,3,5,3
12,1,1,6,2,2,4,3
12,1,2,8,2,2,5,2
12,1,3,6,2,2,5,2
12,1,1,3,3,3,4,4
12,1,1,6,3,5,4,6
12,1,3,6,1,1,5,1
12,1,2,4,1,1,5,1
12,1,4,4,4,4,5,4
12,1,2,6,1,1,5,1
12,1,3,4,1,1,5,1
12,1,4,8,4,4,5,4
12,1,3,3,3,2,5,2
12,1,2,3,3,2,5,2
12,1,1,6,4,4,4,5
12,1,2,3,1,1,5,1
12,1,3,3,4,3,5,3
12,1,4,4,3,2,5,2
12,1,1,8,4,5,4,6
12,1,4,2,2,3,5,3
12,1,2,3,2,1,5,1
12,1,1,8,2,4,4,5
12,1,4,6,1,1,5,1
12,1,1,3,4,4,4,5
12,1,4,8,1,1,5,1
12,1,3,6,3,4,5,4
12,1,1,3,2,3,4,4
12,1,3,3,1,1,5,1
12,1,4,3,1,1,5,1
12,1,3,4,2,2,5,2
12,1,4,8,3,4,5,4
12,1,1,8,1,2,4,3
12,1,3,2,2,4,5,4
12,1,1,4,1,2,4,3
12,1,3,8,1,2,5,2
12,1,1,4,3,3,4,4
12,1,2,6,4,4,5,4
12,1,3,2,4,5,5,5
12,1,1,3,1,1,4,2
12,1,2,2,1,3,5,3
12,1,2,6,3,3,5,3
12,1,4,2,3,4,5,4
12,1,1,2,1,3,4,4
12,1,3,4,3,3,5,3
12,1,2,3,4,4,5,4
12,1,4,6,2,2,5,2
12,1,1,4,4,5,4,6
12,1,4,8,2,3,5,3
12,1,3,2,3,5,5,5
12,1,4,3,2,2,5,2
12,1,1,4,2,2,4,3
12,1,4,2,1,3,5,3
12,1,2,8,1,2,5,2
12,1,4,6,4,4,5,4
12,1,2,8,4,4,5,4
12,1,3,8,3,4,5,4
12,1,2,4,3,3,5,3
12,1,4,3,3,3,5,3
13,1,2,6,3,3,4,4
13,1,4,8,3,5,5,5
13,1,3,8,3,4,5,4
13,1,2,2,1,3,4,4
13,1,1,4,2,2,3,4
13,1,2,8,1,1,4,2
13,1,3,2,4,4,5,4
13,1,2,8,4,4,4,5
13,1,1,3,1,1,3,3
13,1,4,3,2,1,5,1
13,1,1,3,4,3,3,5
13,1,2,6,4,5,4,6
13,1,1,2,1,3,3,5
13,1,3,2,3,5,5,5
13,1,4,8,2,2,5,2
13,1,1,4,4,3,3,5
13,1,3,4,2,1,5,1
13,1,4,6,4,4,5,4
13,1,3,8,1,2,5,2
13,1,1,4,3,2,3,4
13,1,2,3,4,4,4,5
13,1,1,8,2,2,3,4
13,1,4,2,2,2,5,2
13,1,2,3,2,2,4,3
13,1,4,6,1,1,5,1
13,1,1,8,4,3,3,5
13,1,4,6,2,1,5,1
13,1,1,8,1,2,3,4
13,1,4,2,3,2,5,2
13,1,3,2,2,3,5,3
13,1,4,3,3,1,5,1
13,1,1,3,2,1,3,3
13,1,3,4,3,2,5,2
13,1,4,8,1,2,5,2
13,1,3,6,3,1,5,1
13,1,4,3,1,1,5,1
13,1,1,4,1,1,3,3
13,1,3,3,1,1,5,1
13,1,2,4,3,2,4,3
13,1,4,2,1,2,5,2
13,1,2,3,1,1,4,2
13,1,3,3,2,2,5,2
13,1,2,8,3,2,4,3
13,1,3,6,1,2,5,2
13,1,1,6,2,2,3,4
13,1,4,4,2,1,5,1
13,1,2,2,4,4,4,5
13,1,1,3,3,2,3,4
13,1,4,4,1,2,5,2
13,1,2,3,3,1,4,2
13,1,1,8,3,3,3,5
13,1,4,3,4,3,5,3
13,1,1,2,3,4,3,6
13,1,4,4,3,1,5,1
13,1,1,6,3,2,3,4
13,1,3,4,4,2,5,2
13,1,2,6,2,1,4,2
13,1,3,6,4,2,5,2
13,1,2,6,1,1,4,2
13,1,4,6,3,3,5,3
13,1,2,8,2,2,4,3
13,1,3,4,1,1,5,1
13,1,2,4,4,4,4,5
13,1,3,6,2,2,5,2
13,1,2,4,2,1,4,2
13,1,2,2,2,3,4,4
13,1,1,6,4,3,3,5
13,1,3,8,2,1,5,1
13,1,4,8,4,4,5,4
13,1,3,8,4,3,5,3
13,1,2,4,1,1,4,2
13,1,4,2,4,2,5,2
13,1,1,6,1,1,3,3
13,1,3,3,4,2,5,2
13,1,2,2,3,3,4,4
13,1,3,3,3,1,5,1
13,1,4,4,4,3,5,3
13,1,1,2,2,2,3,4
13,1,3,2,1,2,5,2
13,1,1,2,4,3,3,5
14,1,3,3,3,3,4,4
14,1,1,2,3,5,5,5
14,1,3,3,4,4,4,5
14,1,2,3,3,3,5,3
14,1,1,2,4,5,5,5
14,1,3,2,1,4,4,5
14,1,1,6,4,3,5,3
14,1,2,4,1,1,5,1
14,1,1,6,3,4,5,4
14,1,2,2,3,5,5,5
14,1,1,8,3,4,5,4
14,1,4,3,4,3,5,3
14,1,2,8,2,2,5,2
14,1,3,6,4,4,4,5
14,1,4,4,3,5,5,5
14,1,2,6,2,2,5,2
14,1,4,4,1,1,5,1
14,1,1,6,1,1,5,1
14,1,3,6,1,1,4,2
14,1,4,6,3,4,5,4
14,1,3,8,2,3,4,4
14,1,2,3,1,1,5,1
14,1,3,4,4,4,4,5
14,1,4,4,2,2,5,2
14,1,2,2,2,5,5,5
14,1,3,8,4,5,4,6
14,1,4,4,4,4,5,4
14,1,3,3,2,2,4,3
14,1,2,8,3,3,5,3
14,1,3,4,1,2,4,3
14,1,2,2,4,5,5,5
14,1,1,2,2,3,5,3
14,1,2,4,2,2,5,2
14,1,2,6,1,1,5,1
14,1,4,8,4,5,5,5
14,1,3,6,2,3,4,4
14,1,4,2,4,3,5,3
14,1,1,3,3,3,5,3
14,1,2,4,4,5,5,5
14,1,1,6,2,3,5,3
14,1,2,3,2,2,5,2
14,1,4,3,1,1,5,1
14,1,1,2,1,3,5,3
14,1,4,8,2,3,5,3
14,1,1,4,3,3,5,3
14,1,4,6,2,3,5,3
14,1,3,8,1,2,4,3
14,1,1,3,2,2,5,2
14,1,4,8,3,5,5,5
14,1,3,8,3,5,4,6
14,1,4,2,1,2,5,2
14,1,2,6,4,3,5,3
14,1,3,2,2,3,4,4
14,1,4,3,2,1,5,1
14,1,3,2,4,4,4,5
14,1,1,3,1,1,5,1
14,1,3,6,3,3,4,4
14,1,2,6,3,3,5,3
14,1,3,3,1,1,4,2
14,1,4,6,1,2,5,2
14,1,2,8,4,4,5,4
14,1,4,2,2,3,5,3
14,1,1,3,4,3,5,3
14,1,4,6,4,3,5,3
14,1,1,8,1,2,5,2
14,1,2,2,1,3,5,3
14,1,1,4,1,2,5,2
14,1,2,8,1,2,5,2
14,1,1,8,4,4,5,4
14,1,2,4,3,3,5,3
14,1,4,3,3,3,5,3
14,1,3,4,3,2,4,3
14,1,1,4,2,2,5,2
14,1,3,4,2,2,4,3
14,1,2,3,4,4,5,4
14,1,1,8,2,3,5,3
14,1,4,2,3,3,5,3
14,1,3,2,3,5,4,6
14,1,1,4,4,4,5,4
14,1,4,8,1,2,5,2
15,1,3,2,3,4,5,4
15,1,1,2,1,3,4,4
15,1,3,4,3,3,5,3
15,1,2,8,1,2,5,2
15,1,3,8,3,3,5,3
15,1,2,2,1,3,5,3
15,1,1,4,1,2,4,3
15,1,2,8,4,4,5,4
15,1,1,4,3,4,4,5
15,1,4,8,3,4,5,4
15,1,1,3,4,4,4,5
15,1,4,3,2,1,5,1
15,1,3,2,2,3,5,3
15,1,4,2,1,2,5,2
15,1,2,6,4,4,5,4
15,1,2,6,3,4,5,4
15,1,3,2,4,4,5,4
15,1,4,2,2,3,5,3
15,1,1,3,2,1,4,2
15,1,4,3,1,1,5,1
15,1,3,3,1,1,5,1
15,1,4,8,1,2,5,2
15,1,1,8,4,4,4,5
15,1,2,3,4,3,5,3
15,1,1,8,1,3,4,4
15,1,3,8,1,3,5,3
15,1,4,2,3,4,5,4
15,1,1,4,4,4,4,5
15,1,4,6,1,1,5,1
15,1,3,4,2,1,5,1
15,1,4,8,2,3,5,3
15,1,1,3,1,1,4,2
15,1,1,8,2,4,4,5
15,1,4,6,4,5,5,5
15,1,1,4,2,2,4,3
15,1,2,4,3,3,5,3
15,1,4,6,2,4,5,4
15,1,2,3,2,2,5,2
15,1,4,3,3,3,5,3
15,1,3,6,3,4,5,4
15,1,3,6,2,3,5,3
15,1,4,6,3,4,5,4
15,1,3,4,4,4,5,4
15,1,4,2,4,5,5,5
15,1,3,4,1,1,5,1
15,1,2,8,3,4,5,4
15,1,1,6,1,3,4,4
15,1,4,3,4,4,5,4
15,1,2,2,3,4,5,4
15,1,1,2,2,4,4,5
15,1,4,4,2,3,5,3
15,1,1,6,3,4,4,5
15,1,2,2,2,4,5,4
15,1,4,4,3,5,5,5
15,1,2,3,3,3,5,3
15,1,3,6,4,4,5,4
15,1,2,4,4,4,5,4
15,1,3,6,1,2,5,2
15,1,4,8,4,5,5,5
15,1,2,2,4,5,5,5
15,1,1,3,3,3,4,4
15,1,3,3,4,4,5,4
15,1,1,6,2,4,4,5
15,1,2,4,2,2,5,2
15,1,3,2,1,3,5,3
15,1,1,2,3,5,4,6
15,1,3,8,2,3,5,3
15,1,1,2,4,5,4,6
15,1,2,6,2,4,5,4
15,1,3,8,4,4,5,4
15,1,2,8,2,4,5,4
15,1,1,8,3,4,4,5
15,1,4,4,1,3,5,3
15,1,2,3,1,1,5,1
15,1,3,3,3,3,5,3
15,1,2,6,1,1,5,1
15,1,4,4,4,5,5,5
15,1,1,6,4,4,4,5
15,1,3,3,2,2,5,2
15,1,2,4,1,1,5,1
4,1,2,2,4,5,5,5
4,1,1,8,3,4,5,4
4,1,2,8,2,1,5,1
4,1,3,4,1,1,5,1
4,1,1,6,2,2,5,2
4,1,2,6,2,1,5,1
4,1,3,6,4,3,5,3
4,1,2,2,2,4,5,4
4,1,4,8,4,4,5,4
4,1,2,8,3,3,5,3
4,1,4,2,4,5,5,5
4,1,2,4,4,4,5,4
4,1,3,4,4,3,5,3
4,1,4,6,3,2,5,2
4,1,3,8,2,2,5,2
4,1,1,2,2,4,5,4
4,1,4,4,3,3,5,3
4,1,2,4,2,1,5,1
4,1,3,3,2,1,5,1
4,1,1,6,3,3,5,3
4,1,1,2,4,5,5,5
4,1,4,4,1,1,5,1
4,1,2,3,1,1,5,1
4,1,3,3,3,1,5,1
4,1,1,2,3,4,5,4
4,1,3,8,4,3,5,3
4,1,2,3,3,2,5,2
4,1,3,2,1,2,5,2
4,1,2,2,3,4,5,4
4,1,4,3,4,2,5,2
4,1,3,6,2,2,5,2
4,1,1,6,4,3,5,3
4,1,3,6,1,1,5,1
4,1,4,4,4,3,5,3
4,1,2,6,1,1,5,1
4,1,1,3,3,2,5,2
4,1,3,3,4,2,5,2
4,1,2,4,1,1,5,1
4,1,1,6,1,1,5,1
4,1,4,4,2,1,5,1
4,1,3,6,3,2,5,2
4,1,2,8,4,3,5,3
4,1,1,3,4,2,5,2
4,1,3,8,3,2,5,2
4,1,1,8,2,2,5,2
4,1,4,3,1,1,5,1
4,1,1,3,1,1,5,1
4,1,4,6,1,1,5,1
4,1,1,3,2,1,5,1
4,1,4,2,3,4,5,4
4,1,1,8,1,2,5,2
4,1,2,4,3,1,5,1
4,1,4,8,3,3,5,3
4,1,2,6,4,4,5,4
4,1,4,8,2,2,5,2
4,1,1,4,3,3,5,3
4,1,3,8,1,1,5,1
4,1,2,6,3,2,5,2
4,1,1,2,1,2,5,2
4,1,3,2,4,4,5,4
4,1,4,2,2,3,5,3
4,1,3,2,3,3,5,3
4,1,4,2,1,1,5,1
4,1,2,3,2,1,5,1
4,1,4,6,2,2,5,2
4,1,1,8,4,3,5,3
4,1,4,8,1,1,5,1
4,1,2,8,1,1,5,1
4,1,3,4,2,1,5,1
4,1,2,3,4,2,5,2
