Participant;DoF;Contents;Codecs;Bitrates;Scores;Session;ViewOrder
13;1;4;7;1;2;S01;36
13;1;3;5;3;1;S01;37
13;1;4;2;1;1;S01;38
13;1;1;3;1;1;S01;39
13;1;3;2;1;1;S01;40
13;1;2;3;3;2;S01;41
13;1;4;1;1;2;S01;42
13;1;2;2;1;1;S02;1
13;1;3;2;2;2;S02;2
13;1;2;7;3;2;S02;3
13;1;3;5;1;2;S02;4
13;1;1;5;2;2;S02;5
13;1;4;3;2;1;S02;6
13;1;2;1;4;4;S02;7
13;1;3;0;0;5;S02;8
13;1;1;2;3;2;S02;9
13;1;4;3;1;2;S02;10
13;1;2;2;3;1;S02;11
13;1;1;7;3;3;S02;12
13;1;4;2;4;3;S02;13
13;1;1;1;3;4;S02;14
13;1;4;3;3;1;S02;15
13;1;1;5;3;2;S02;16
13;1;3;3;4;2;S02;17
13;1;2;5;2;1;S02;18
13;1;3;5;4;2;S02;19
13;1;2;5;1;1;S02;20
13;1;4;5;3;3;S02;21
13;1;2;7;2;2;S02;22
13;1;3;3;1;1;S02;23
13;1;2;3;4;4;S02;24
13;1;3;5;2;2;S02;25
13;1;2;3;2;1;S02;26
13;1;4;0;0;5;S02;27
13;1;2;1;2;3;S02;28
13;1;1;5;4;3;S02;29
13;1;3;7;2;1;S02;30
13;1;4;7;4;4;S02;31
13;1;3;7;4;3;S02;32
13;1;2;3;1;1;S02;33
13;1;4;1;4;2;S02;34
13;1;1;5;1;1;S02;35
13;1;3;2;4;2;S02;36
13;1;2;1;3;3;S02;37
13;1;3;2;3;1;S02;38
13;1;4;3;4;3;S02;39
13;1;1;1;2;2;S02;40
13;1;3;1;1;2;S02;41
13;1;1;1;4;3;S02;42
14;1;3;2;3;3;S01;1
14;1;1;1;3;5;S01;2
14;1;3;2;4;4;S01;3
14;1;2;2;3;3;S01;4
14;1;1;1;4;5;S01;5
14;1;3;1;1;4;S01;6
14;1;1;5;4;3;S01;7
14;1;2;3;1;1;S01;8
14;1;1;5;3;4;S01;9
